name,category,area,address,lat,lng,phone,kakao_place_url,source,mood,with_kids,for_work,price_level,tags,reservation_required
더차이나,restaurant,"오산,평택",경기도 평택시 서탄면 발안로 990,36.9886,127.0237,031-663-8886,https://kko.kakao.com/4uGomeDohS, kakao,"든든한,가성비좋은",TRUE,FALSE,1,중국집 짬뽕 탕수육 볶음밥 중화요리 점심식사 가족동반 주차가능 서탄면맛집,FALSE
공룡국수,restaurant,오산,경기도 오산시 경기대로148번길 16 1층 ,37.15457,127.07603,031-375-7080,https://kko.kakao.com/SxWDvDaKE2, kakao,"든든한,서민적인",TRUE,FALSE,1,국수 잔치국수 칼국수 콩국수 비빔국수 점심맛집 혼밥 로컬맛집 오산맛집,FALSE
개성집,restaurant,오산,경기도 오산시 동부대로568번길 21-4,37.15888,127.0835,031-376-3880,https://kko.kakao.com/Edt42JQWsr,kakao,"정갈한,가족식사",TRUE,FALSE,2,코다리조림 명태조림 한정식 가족식사 단체가능 점심저녁 로컬맛집 오산맛집,TRUE
최미삼순대국,restaurant,오산,경기 오산시 경기동로 131-14 1층,37.16231,127.07621,0507-1315-7801,https://kko.to/KGbHH6cvOu,kakao,"구수한,서민적인",TRUE,FALSE,1,순대국 순대 전문점 해장국 밥집 점심맛집 로컬맛집 오산맛집,FALSE
삼미포차,restaurant,오산,경기도 오산시 오산로 237,37.160385,127.075819,031-375-5830,https://kko.kakao.com/Jd1TeIAKV0,kakao,"소박한,편안한",TRUE,FALSE,1,백반 가정식 점심맛집 기사식당 로컬맛집 오산맛집,FALSE
두부마을,restaurant,오산,경기도 오산시 동부대로568번길 21,37.15836,127.08309,0507-1463-6114,https://kko.to/RA3_i_tS7G,kakao,"건강한,가족식사",TRUE,FALSE,2,두부요리 두부전골 두부보쌈 연잎보쌈정식 콩국수 비지찌개 한정식 건강식 점심식사 가족동반 오산맛집,FALSE
오투닭갈비,restaurant,오산,경기도 오산시 죽담안로 38-4,37.16082,127.07164,031-373-5292,https://kko.kakao.com/F6VvA_PwwP,kakao,"활기찬,푸짐한",TRUE,FALSE,2,닭갈비 철판닭갈비 볶음밥 가족식사 회식 친구모임 오산맛집,FALSE
보배담 안성양성점,restaurant,안성시 양성,경기도 안성시 양성면 만세로 735 (동항리 576),36.9886,127.0237,0507-1393-2393,https://kko.to/BkrWpAOHeP,kakao,"서민적인,활기찬",TRUE,FALSE,1,한식 버섯육개장 열무국수 돼지불고기 김치찜 점심식사 가족식사 단체가능 무료주차 로컬맛집 안성맛집,FALSE
누리네 복개천찌개찌개,restaurant,오산,경기도 오산시 오산로190번길 29,37.16033,127.07595,0507-1371-5155,https://kko.to/MG9oEb6ViK,kakao,"푸짐한,따뜻한",TRUE,FALSE,1,찌개 김치찌개 김치돈짜글이 김치만두전골 돼지곱창전골 오징어찌개 닭도리탕 점심저녁 가족식사 로컬맛집 오산맛집,FALSE
오산깍두기집,restaurant,오산,경기도 오산시 오산로190번길 16,37.16021,127.07563,031-372-1767,https://naver.me/FuzrlZRK,naver,"든든한,매운맛",TRUE,FALSE,1,감자탕 뼈해장국 단체가능 저녁맛집 가족모임 로컬맛집 오산맛집,FALSE
황금장수촌 오산점,restaurant,오산,경기도 오산시 독산성로 425,37.17202,127.08241,031-372-5292,https://naver.me/xoH8w9h5,naver,"든든한,보양식",TRUE,FALSE,2,백숙 능이백숙 닭백숙 오리백숙 보양식 가족식사 단체가능 부모님모시고가기좋은 오산맛집,TRUE
다미식,restaurant,오산,경기도 오산시 수목원로49번길 55 1층,37.15353,127.08674,0507-1335-7918,https://naver.me/xHgIq7eW,naver,"푸짐한,가족외식",TRUE,FALSE,2,중식 중국요리 돌짜장 동파육 우삼겹짬뽕 동태내장전골 점심식사 저녁식사 가족모임 무료주차 오산맛집,TRUE
짬뽕지존 오산점,restaurant,오산,경기도 오산시 경기대로 470 1층 (수청동),37.1598,127.0771,0507-1310-5161,https://naver.me/FO9ouRpf,naver,"얼큰한,활기찬",TRUE,FALSE,1,중식 짬뽕전문 짬뽕 짜장면 탕수육 24시간 주차가능 포장가능 점심저녁 오산맛집,FALSE
이비가짬뽕 오산점,restaurant,오산,"경기도 오산시 수목원로 466 성민리치프라자 2층 204호, 205호",37.15262,127.08583,031-378-9992,https://naver.me/5owH3oNK,naver,"얼큰한,캐주얼한",TRUE,FALSE,2,중식 짬뽕전문 이비가짬뽕 짜장면 탕수육 점심 저녁 가족식사 오산맛집,FALSE
역대짬뽕,restaurant,오산,경기도 오산시 운천로 109 1층,37.15948,127.07862,0507-1416-7433,https://naver.me/xyTRgSLD,naver,"불맛강한,푸짐한",TRUE,FALSE,1,중식 짬뽕 중국집 불짬뽕 황짬뽕 백합짬뽕 탕수육 볶음밥 점심 저녁 가족식사 단체모임 오산맛집,FALSE
웍하이,restaurant,오산,경기도 오산시 가장로530번길 3 1층,37.16021,127.07754,010-9950-9844,https://naver.me/Giptk7RK,naver," 활기찬,푸짐한",TRUE,FALSE,1,중식 중국집 간짜장 짬뽕 훈연고기짬뽕 중화비빔밥 탕수육 점심식사 가족식사 오산맛집,FALSE
홍화루,restaurant,오산,경기도 오산시 오산로 23 A동 1층,37.15986,127.07659,0507-1428-9979,https://naver.me/5S9QpUrZ,naver,"푸짐한,전통적인",TRUE,FALSE,2,중식 중국요리 짬뽕 탕수육 간짜장 해물짬뽕 볶음밥 깐풍기 점심저녁 가족식사 오산맛집,TRUE
한성각,restaurant,오산,경기도 오산시 오산로190번길 19,37.16035,127.07587,031-374-4464,https://naver.me/58NdXZzX,naver,"전통적인,서민적인",TRUE,FALSE,1,중식 중국집 짜장 짬뽕 탕수육 볶음밥 점심저녁 가족식사 오산맛집 로컬맛집,FALSE
보배반점,restaurant,오산,경기도 오산시 운암로 17 중앙상가빌딩 1층 101호,37.1595,127.0779,031-377-9017,https://naver.me/53leolZO,naver,"캐주얼한,친근한",TRUE,FALSE,1,중식 중국집 짜장 짬뽕 탕수육 볶음밥 점심저녁 가족식사 혼밥 오산맛집 로컬맛집,FALSE
오산반점,restaurant,오산,경기도 오산시 오산로 157 1층 (오산동 730-4),37.1613,127.0792,031-373-1690,https://naver.me/FjCCLZMU,naver,"전통적인,든든한",TRUE,FALSE,1,중식 중국요리 짜장면 삼선짬뽕 탕수육 유린기 칠리새우 볶음밥 점심저녁 가족식사 오산맛집,FALSE
